"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Bulgaria,1308003,,38399,,1267665,,1939,31,"191,100","5,610","11,246,006","1,643,049","6,844,597",Europe,5,178,1,,,283
Morocco,1274180,,16297,,1256151,,1732,3,"33,733",431,"13,001,033","344,191","37,772,756",Africa,30,"2,318",3,,,46
Croatia,1273871,,18266,,1255405,,200,6,"313,817","4,500","5,606,067","1,381,048","4,059,286",Europe,3,222,1,,,49
Guatemala,1253660,,20202,,1231005,,2453,5,"67,459","1,087","7,361,909","396,141","18,584,039",North America,15,920,3,,,132
Lebanon,1238364,808,10930,16,1087587,,139847,74,"185,249","1,635","4,795,578","717,380","6,684,849",Asia,5,612,1,121,2,"20,920"
Costa Rica,1232576,,9374,,860711,,362491,52,"237,841","1,809","4,659,757","899,158","5,182,354",North America,4,553,1,,,"69,947"
Bolivia,1199822,,22386,,1168875,,8561,220,"100,046","1,867","2,710,261","225,993","11,992,656",South America,10,536,4,,,714
Cuba,1114407,24,8530,,1105709,34,168,2,"98,571",754,"14,345,279","1,268,859","11,305,652",North America,10,"1,325",1,2,,15
UAE,1067030,,2349,,1054525,,10156,,"105,837",233,"200,732,262","19,910,389","10,081,785",Asia,9,"4,292",0,,,"1,007"
Ecuador,1062275,,36019,,1025747,,509,759,"58,646","1,989","3,082,403","170,173","18,113,361",South America,17,503,6,,,28
Panama,1040230,,8624,,1030855,,751,16,"233,919","1,939","7,697,189","1,730,886","4,446,964",North America,4,516,1,,,169
Uruguay,1038774,,7634,,1030944,,196,18,"297,131","2,184","6,114,822","1,749,083","3,496,016",South America,3,458,1,,,56
Mongolia,1008655,,2179,,1006086,,390,192,"298,588",645,"4,030,048","1,193,000","3,378,078",Asia,3,"1,550",1,,,115
Nepal,1003353,1,12031,,991305,3,17,,"33,195",398,"6,046,867","200,058","30,225,582",Asia,30,"2,512",5,0.03,,0.6
Belarus,994037,,7118,,985592,,1327,,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe,9,"1,325",1,,,141
Latvia,977891,,6344,,971406,,141,13,"528,922","3,431","7,875,835","4,259,886","1,848,837",Europe,2,291,0,,,76
Saudi Arabia,841469,,9646,,827923,,3900,66,"23,475",269,"45,481,735","1,268,848","35,844,909",Asia,43,"3,716",1,,,109
Azerbaijan,831865,,10277,,821550,,38,,"80,762",998,"7,626,218","740,395","10,300,205",Asia,12,"1,002",1,,,4
Bahrain,722069,25,1564,,720371,19,134,2,"404,751",877,"10,859,295","6,087,107","1,783,983",Asia,2,"1,141",0,14,,75
Sri Lanka,672495,5,16876,,655607,10,12,,"31,169",782,"6,486,117","300,619","21,575,842",Asia,32,"1,278",3,0.2,,0.6
Kuwait,665931,,2570,,660237,,3124,,"152,028",587,"8,455,743","1,930,391","4,380,326",Asia,7,"1,704",1,,,713
Dominican Republic,661176,,4384,,644785,,12007,4,"59,800",397,"3,740,928","338,350","11,056,370",North America,17,"2,522",3,,,"1,086"
Cyprus,660854,,1364,,659490,,0,60,"540,184","1,115","9,640,118","7,879,860","1,223,387",Asia,2,897,0,,,
Myanmar,639379,70,19494,,618363,46,1522,,"11,577",353,"10,703,628","193,811","55,227,143",Asia,86,"2,833",5,1,,28
Palestine,621008,,5404,,615445,,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia,9,989,2,,,30
Moldova,620574,,12118,,504142,,104314,49,"154,634","3,020","3,216,305","801,437","4,013,171",Europe,6,331,1,,,"25,993"
Estonia,619051,,3001,,524990,,91060,2,"468,300","2,270","3,718,876","2,813,260","1,321,910",Europe,2,440,0,,,"68,885"
Venezuela,552695,,5856,,546537,,302,31,"18,885",200,"3,359,014","114,771","29,266,991",South America,53,"4,998",9,,,10
Egypt,516023,,24613,,442182,,49228,122,"4,861",232,"3,693,367","34,792","106,156,692",Africa,206,"4,313",29,,,464
Qatar,513995,72,690,,512997,136,308,17,"172,486",232,"4,065,369","1,364,257","2,979,915",Asia,6,"4,319",1,24,,103
Libya,507264,,6437,,500826,,1,,"72,047",914,"2,483,848","352,782","7,040,745",Africa,14,"1,094",3,,,0.1
Ethiopia,500912,1,7574,,488133,1,5205,1,"4,146",63,"5,554,931","45,980","120,812,698",Africa,241,"15,951",22,0.01,,43
Réunion,486588,,921,,418572,,67095,10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa,2,986,1,,,"73,888"
Armenia,449203,,8750,,435162,,5291,,"151,147","2,944","3,242,901","1,091,164","2,971,966",Asia,7,340,1,,,"1,780"
Bosnia and Herzegovina,402998,,16347,,379084,,7567,,"124,025","5,031","1,884,721","580,036","3,249,317",Europe,8,199,2,,,"2,329"
Oman,399449,,4628,,384669,,10152,2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia,13,"1,150",0,,,"1,907"
North Macedonia,348281,,9677,,337068,,1536,,"167,338","4,649","2,226,216","1,069,626","2,081,304",Europe,6,215,1,,,738
Zambia,343995,,4058,,339858,,79,,"17,668",208,"4,047,915","207,903","19,470,234",Africa,57,"4,798",5,,,4
Kenya,343074,,5688,,337309,,77,1,"6,103",101,"3,967,062","70,569","56,215,221",Africa,164,"9,883",14,,,1
Albania,334726,,3602,,329428,,1696,,"116,777","1,257","1,941,032","677,173","2,866,374",Europe,9,796,1,,,592
Botswana,329905,,2801,,327049,,55,1,"135,143","1,147","2,026,898","830,300","2,441,162",Africa,7,872,1,,,23
Luxembourg,319959,,1232,,316690,,2037,,"498,091","1,918","4,587,145","7,140,959","642,371",Europe,2,521,0,,,"3,171"
Brunei,306333,,225,,243601,,62507,3,"687,723",505,"717,784","1,611,437","445,431",Asia,1,"1,980",1,,,"140,329"
Montenegro,291911,13,2828,,288614,45,469,6,"464,863","4,504","2,757,845","4,391,823","627,950",Europe,2,222,0,21,,747
Algeria,271842,,6881,,183055,,81906,,"5,994",152,"230,960","5,093","45,350,148",Africa,167,"6,591",196,,,"1,806"
Nigeria,266675,,3155,,259953,,3567,11,"1,230",15,"5,708,974","26,339","216,746,934",Africa,813,"68,700",38,,,16
Zimbabwe,265030,,5695,,258888,,447,12,"17,287",371,"2,525,756","164,744","15,331,428",Africa,58,"2,692",6,,,29
Uzbekistan,253662,,1637,,241486,,10539,23,"7,378",48,"1,377,915","40,077","34,382,084",Asia,136,"21,003",25,,,307
Mozambique,233417,,2243,,228805,,2369,11,"7,054",68,"1,371,127","41,437","33,089,461",Africa,142,"14,752",24,,,72
Afghanistan,222248,,7918,,200041,,14289,45,"5,453",194,"1,265,782","31,059","40,754,388",Asia,183,"5,147",32,,,351
Kyrgyzstan,206890,,2991,,196406,,7493,131,"30,749",445,"1,907,195","283,460","6,728,271",Asia,33,"2,250",4,,,"1,114"
El Salvador,201785,,4230,,179410,,18145,8,"30,805",646,"2,610,114","398,467","6,550,389",North America,32,"1,549",3,,,"2,770"
Trinidad and Tobago,191496,,4390,,187078,,28,8,"136,143","3,121","913,289","649,295","1,406,585",North America,7,320,2,,,20
Maldives,186672,,316,,163687,,22669,25,"345,059",584,"2,213,831","4,092,223","540,985",Asia,3,"1,712",0,,,"41,903"
Ghana,171657,,1462,,170161,,34,2,"5,299",45,"2,536,496","78,298","32,395,450",Africa,189,"22,158",13,,,1
Namibia,171310,,4091,,167099,,120,,"65,041","1,553","1,062,663","403,460","2,633,874",Africa,15,644,2,,,46
Uganda,170775,,3632,,100431,,66712,3,"3,526",75,"3,012,408","62,198","48,432,863",Africa,284,"13,335",16,,,"1,377"
Jamaica,155026,,3550,,102982,,48494,,"51,933","1,189","1,183,986","396,633","2,985,094",North America,19,841,3,,,"16,245"
Cambodia,138822,9,3056,,135728,11,38,,"8,086",178,"3,091,420","180,062","17,168,639",Asia,124,"5,618",6,0.5,,2
Rwanda,133194,,1468,,131647,,79,,"9,793",108,"6,021,981","442,778","13,600,464",Africa,102,"9,265",2,,,6
Cameroon,125036,,1972,,122807,,257,13,"4,480",71,"1,751,774","62,762","27,911,548",Africa,223,"14,154",16,,,9
Malta,118815,,839,,117412,,564,4,"267,581","1,889","2,140,075","4,819,631","444,033",Europe,4,529,0,,,"1,270"
